fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	feature_fraction_bynode	max_depth	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	bagging_freq	num_iterations	estimulos	ganancia	iteracion_bayesiana
20231121 051216	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.197091842636622	0.342838698889263	675	17356	0.601945822788963	44	0.997271134367675	0.106681234030393	0.949566687903543	4	23	13445	148894635.182409	53
20231121 051350	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0777270426237612	0.79211457879238	66	23346	0.399475631735743	35	0.882306719837224	0.975016801371107	0.902372209539057	24	91	13255	157506874.062969	54
20231121 051536	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0505606025998708	0.762729262721248	962	11524	0.300891866892368	17	0.17174422427108	0.728524473178938	0.90435389133641	9	89	11476	156679674.162919	55
20231121 051747	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.16220295519057	0.465313823019421	860	48370	0.407008958598846	44	0.152040503989414	0.876198186497794	0.469397201731246	10	100	10823	152653092.953523	56
20231121 052018	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0623401647135936	0.438629152530269	989	7050	0.62763469544597	43	0.659731213696372	0.866226157539424	0.761260056690553	4	92	11677	160303858.570715	57
20231121 052222	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.028589387616565	0.36444826133174	865	20538	0.173035003300639	23	0.922617307923146	0.297542946283697	0.599012773495059	3	100	13907	143284623.188406	58
20231121 052313	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.217452814483195	0.830345717080938	465	39468	0.639631375407358	21	0.0521477392508881	0.207383570435053	0.477656476389759	25	72	10782	154626389.805097	59
20231121 052520	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.179636905124807	0.347993809656274	267	10538	0.856821558660355	40	0.206743470016856	0.971397489089342	0.729352674482446	29	75	12620	158725367.316342	60
20231121 052631	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0825555069096948	0.113390167976035	545	8288	0.783741853549014	25	0.16086426575802	0.991427913431772	0.493588305919284	13	100	12488	156801931.034483	61
20231121 052822	2586	1068007	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	FALSE	1	0.1	50	0.5	TRUE	500167	0.0895851179120905	0.979226047646519	929	5877	0.642768134512925	50	0.591136645585764	0.666457585538316	0.794890137564781	18	93	11600	160446436.781609	62
